,Title,Authors,referencia,Abstract,Author Keywords,fonte
artivo35,"""Políticas de ações afirmativas: uma breve análise do programa de cotas""","""Aparecida Das Graças Geraldo | Regina Maria Simões Puccinelli Tancredi""","""Revista Exitus, 01 September 2016, Vol.2(2), pp.61-76 [Periódico revisado por pares]""","""Partindo de uma perspectiva qualitativa, utilizando a entrevista semi-estruturada, o presente artigo tem como primazia fazer uma breve análise do programa de políticas de cotas implantado no ensino superior do Brasil. Tem como objetivo analisar a contribuição do Programa de Ações Afirmativas - Cotas, numa instituição particular que destina 50% das vagas para negros e afrodescendentes. Dados da coleta indicaram que o Programa de cotas foi importante para as pessoas que participaram, pois possibilitou ampliar a compreensão do mundo e da sociedade e desenvolver a criticidade e a autoestima.""","""Escravidão Ações afirmativas Cotas""",Directory of Open Access
artivo36,"""Extrafiscalidade e ações afirmativas – Diálogos entre teoria constitucional tributária e finanças públicas""","""Ana Paula de Oliveira Gomes""","""Revista Controle, 01 December 2013, Vol.11(2) [Periódico revisado por pares]""","""Pode a tributação ser compreendida como “instrumento” de inclusão social do terceiro milênio? Eis a questão orientadora do presente estudo. Acredita-se que extrafiscalidade, se utilizada   adequadamente, contribui para efetivação dos direitos fundamentais. Investigar-se-á o assunto a partir das relações existentes entre a teoria geral das finanças públicas e o direito tributário. Conclui-se que a utilização das ações afirmativas fiscais representa uma forma de resposta à problemática que envolve a concretização dos direitos fundamentais. Trata-se de estudo eminentemente bibliográfico e relacional. Justifica-se a pesquisa pela atualidade e transdisciplinaridade do assunto.""",,
artivo37,"""Negros e indígenas ocupam o templo branco: ações afirmativas na UFRGS""","""Oliven_ Arabela Campos | Bello_ Luciane""","""Horizontes Antropológicos, 01 September 2017, Vol.23(49), pp.339-374 [Periódico revisado por pares]""","""Resumo: Na maioria dos países do mundo ocidental, universidades que formam a elite costumam ser redutos da branquidade refratários a grupos socialmente excluídos. No Brasil, com mais da metade da população formada por pretos e pardos, as universidades públicas sempre foram um território quase exclusivamente branco. O Rio Grande do Sul, estado brasileiro com a segunda maior percentagem de população branca do país, reflete esse quadro. Ele enaltece o legado dos grupos imigrantes de origem europeia em contraste com a pequena visibilidade atribuída à contribuição da população negra e indígena. No período 2008 a 2012, a Universidade Federal do Rio Grande do Sul, a mais importante do estado, implementou uma política de ação afirmativa que aumentou as oportunidades de alunos pretos, pardos e indígenas entrarem em seus cursos de graduação. O artigo discute essa política - sua aprovação, características, implantação, avaliação e reformulação, assim como seus resultados. Analisa a experiência de um grupo de universitários negros e indígenas, que foram dos primeiros a ingressar na UFRGS através da reserva de vagas. Ao final, aponta os significados das políticas de inclusão de negros e indígenas nas universidades públicas brasileiras e os desafios que elas representam para essas instituições.""",,
artivo38,"""Ações afirmativas raciais no ensino superior público brasileiro: um panorama analítico""","""Daflon_ Verônica Toste | Feres Júnior_ João | Campos_ Luiz Augusto""","""Cadernos de Pesquisa, 01 April 2013, Vol.43(148), pp.302-327 [Periódico revisado por pares]""","""O artigo analisa as diferentes modalidades de ações afirmativas raciais em vigor nas universidades públicas brasileiras até 2012. A partir de um levantamento das leis e resoluções que regulamentam tais políticas, cruzadas com microdados produzidos pelo Instituto Nacional de Estudos e Pesquisas Educacionais, traçamos um panorama da ação afirmativa no país. Nosso esforço tem por objetivo explicitar os diferentes diagnósticos acerca das desigualdades educacionais no Brasil em que as universidades se baseiam para elaborar suas políticas e investigar de que maneira adotam procedimentos para mitigar iniquidades na admissão aos seus cursos, lidando com o desafio de transformar categorias sociológicas como classe, raça e etnicidade, bem como demandas governamentais e de movimentos sociais em critérios norteadores de políticas públicas. """,,"""SciELO SciELO"""
artivo39,"""Ações afirmativas raciais no ensino superior público brasileiro: um panorama analítico.""","""Toste Daflon_ Verônica | Feres_ Joao | Campos_ Luiz Augusto""","""Cadernos de Pesquisa, 2013, Vol.43(148), pp.302-327 [Periódico revisado por pares]""","""O artigo analisa as diferentes modalidades de ações afirmativas raciais em vigor nas universidades públicas brasileiras até 2012. A partir de um levantamento das leis e resoluções que regulamentam tais políticas, cruzadas com microdados produzidos pelo Instituto Nacional de Estudos e Pesquisas Educacionais, traçamos um panorama da ação afirmativa no país. Nosso esforço tem por objetivo explicitar os diferentes diagnósticos acerca das desigualdades educacionais no Brasil em que as universidades se baseiam para elaborar suas políticas e investigar de que maneira adotam procedimentos para mitigar iniquidades na admissão aos seus cursos, lidando com o desafio de transformar categorias sociológicas como classe, raça e etnicidade, bem como demandas governamentais e de movimentos sociais em critérios norteadores de políticas públicas. """,,"""Fundación Dialnet"""
artivo40,"""Ações afirmativas na educação superior: mulheres negras cotistas e mobilidade social""","""Alves Cordeiro_ Ana Luisa""","""Pedagógica: Revista do programa de Pós-graduaçao em Educaçao - PPGE, 2013, Vol.15(30), pp.297-314 [Periódico revisado por pares]""","""O presente artigo tem por objetivo delinear algumas consideraçõessobre a relevância que a categoria ""gênero"" tem, ao lado das de classe, raçae etnia, nas análises sobre as políticas de ação afirmativa. Utilizou-se comoprocedimento metodológico a pesquisa bibliográfica e dados estatísticos.Se as mulheres negras encontram-se de forma majoritária na base dapirâmide social, figurando os piores índices em vários fatores (educação,emprego, saúde, serviço social, moradia etc.), surge a questão: como as cotastêm proporcionado a mobilidade social de cotistas negras egressas(os)?Constata-se que no atual período urge a necessidade de avaliações sobreas cotas, que permitam visualizar as mobilidades sociais, as mudanças destatus social do passado para o presente. Acredita-se que próprio acesso,permanência e sucesso no ensino superior já configura uma mobilidadesocial, um novo status na vida destas mulheres. """,,"""Fundación Dialnet"""
artivo41,"""A identificação de enquadramentos através da análise de correspondências: um modelo analítico aplicado à controvérsia das ações afirmativas raciais na imprensa""","""Campos_ Luiz Augusto""","""Opinião Pública, 01 December 2014, Vol.20(3), pp.377-406 [Periódico revisado por pares]""","""Embora o conceito de enquadramento venha sendo intensivamente utilizado nos estudos de mídia, parece unânime a opinião de que seu emprego ainda é fluido demais para fundar um paradigma teórico. Contribui para isso a informalidade metodológica característica das rotinas tradicionalmente usadas para a identificação de enquadramentos. Diante dessa lacuna, este artigo propõe um protocolo para a identificação de enquadramentos midiáticos a partir da combinação de Programas Computacionais de Codificação Assistida de Dados Qualitativos (Caqdas, na sigla anglófona) com a técnica da Análise de Correspondências. Tal combinação permite explicitar os critérios que validam uma dada tipologia de enquadramentos sem, contudo, automatizar todo o processo. Para exemplificar os ganhos heurísticos dessa técnica, ela é aplicada a um corpusde textos sobre as ações afirmativas raciais nas universidades brasileiras publicados nos dois principais jornais brasileiros.""",,
artivo42,"""Disputas e diálogos em torno do conceito de ""ações afirmativas"" para o ensino superior no Brasil""","""Sito_ Luanda""","""Universitas Humanística, 01 June 2014, Issue 77, pp.251-273 [Periódico revisado por pares]""","""Neste artigo, detenho-me na polémica gerada no contexto de expansão do ensino superior brasileiro, por meio da medida de cotas para estudantes negros e indígenas na Universidade, para observar o que revelam os discursos sobre as concepções de ações afirmativas. Para isso, analiso dois manifestos que foram entregues ao Congresso Nacional, no ano de 2006, por intelectuais brasileiros que se posicionaram publicamente em relação à política de cotas. A análise, orientada por uma concepção de linguagem bakhtiniana, mostra que o conceito de ""ações afirmativas"" se mostrou em disputa: no primeiro, é tomado como uma medida racialista e desigual; no segundo, é entendido como uma medida de desconstrução do racismo. Ao caracterizar esse debate no cenário brasileiro, busco contribuir para a construção de um panorama regional sobre a questão racial e sobre as ações afirmativas no contexto latino-americano. """,,"""SciELO SciELO"""
artivo43,"""Direitos fundamentais, educação indígena e identidade emancipatória: reflexões acerca de ações afirmativas no Brasil""","""Wenczenovicz_ Thaís Janaina | Baez_ Narciso Leandro Xavier""","""Revista Brasileira de Direito, 2016, Vol.12(2), pp.95-107 [Periódico revisado por pares]""","""O estudo analisa algumas das ações afirmativas no decorrer da História do Brasil no sistema de ensino indígena como mecanismo de concretização do Direito Fundamental à Educação. Aborda elementos históricos da Educação Indígena e a positivação deste direito, conferindo caráter fundamental ao direito à Educação. Assim, ao nomear o direito à Educação como Direito Fundamental, indica o papel dos gestores públicos na adoção de políticas delineadas para sua eficácia. O procedimento metodológico utilizado é o analítico-interpretativo de investigação e análise da legislação vigente, inclusive de documentos internacionais internalizados, em especial os correlatos a Legislação Educacional. """,,"""Fundación Dialnet"""
artivo44,"""Programa de ações afirmativas na UFSM: o ensino superior público sob o olhar de seus gestores - Affirmative action’s program at UFSM: the public higher education under the watch of yours managers""","""Cláudia Regina Costa Pacheco""","""Revista de Gestão e Avaliação Educacional, 01 October 2015, Vol.2(4), pp.7-21 [Periódico revisado por pares]""","""Resumo Este trabalho apresenta os resultados da pesquisa sobre ações afirmativas na Universidade Federal de Santa Maria - UFSM. Questionou-se: em que medida a implantação de um programa de ações afirmativas na UFSM pode contribuir para os processos de democratização no ensino superior? O objetivo... """,,Directory of Open Access
artivo45,"""Disputas e diálogos em torno do conceito de ""ações afirmativas"" para o ensino superior no Brasil""","""Sito_ Luanda""","""Universitas humanística, 2014, Issue 77, pp.251-276 [Periódico revisado por pares]""","""Neste artigo, detenho-me na polêmica gerada no contexto de expansão do ensino superior brasileiro, por meio da medida de cotas para estudantes negros e indígenas na Universidade, para observar o que revelam os discursos sobre as concepções de ações afirmativas. Para isso, analiso dois manifestos que foram entregues ao Congresso Nacional, no ano de 2006, por intelectuais brasileiros que se posicionaram publicamente em relação à política de cotas. A análise, orientada por uma concepção de linguagem bakhtiniana, mostra que o conceito de �ações afirmativas� se mostrou em disputa: no primeiro, é tomado como uma medida racialista e desigual; no segundo, é entendido como uma medida de desconstrução do racismo. Ao caracterizar esse debate no cenário brasileiro, busco contribuir para a construção de um panorama regional sobre a questão racial e sobre as ações afirmativas no contexto latino-americano.""",,"""Fundación Dialnet"""
